nev;leiras;datum;megjelenites;mix;veszelyesseg
Pot Hotspot;Una pentola con ali di fenice e fiamme blu;2025.04.25;;pentola-fenice;7
Frulli Frulla;Un frullatore vivente con tentacoli di frutta tropicale;2024.11.20;;frullatore-frutta;2
Brri Brri Bicus Dicus Bombicus;Un ibisco esplosivo con petali di dinamite;2025.01.05;;fiore-bomba;9
Tric Trac Baraboom;Un treno fantasma con ruote di fuochi d'artificio;2025.03.30;;treno-fuochi;8
Cocofanto Elefanto;Un elefante fatto di noci di cocco con proboscide spruzzante acqua di cocco;2025.02.05;;elefante-cocco;3
Burbaloni Lulilolli;Un palloncino vivente che mangia lollipop e sputa bolle;2024.12.15;;pallone-lollipop;1
Orangutini Ananasini;Un orangutan fatto di ananas con braccia di liana;2025.05.05;;orango-ananas;2
Garamararamararaman dan Madudungdung tak tuntung perkuntung;Un drago indonesiano che suona gamelan con la coda;2025.01.20;;drago-musica;5
Il Cacto Hipopotamo;Un ippopotamo coperto di spine di cactus che spara acqua;2025.04.15;;ippopotamo-cactus;6
Blueberrinni Octopussini;Un polpo fatto di mirtilli con tentacoli che producono succo;2025.03.10;;polpo-mirtillo;1
Glorbo Fruttodrillo;Un coccodrillo fatto di frutta tropicale assortita;2024.11.30;;coccodrillo-frutta;3
Rhino Toasterino;Un rinoceronte con un tostapane al posto del corno;2025.02.20;;rino-tostapane;5
Zibra Zubra Zibralini;Una zebra con strisce che cambiano colore come un arcobaleno;2025.05.10;;zebra-arcobaleno;2
Graipussi Medussi;Una medusa fatta di uva che fluttua nell'aria;2024.12.25;;medusa-uva;1
Tigrrullini Watermellini;Una tigre fatta di anguria con strisce di semi neri;2025.04.05;;tigre-anguria;3
Tracotucotulu Delapeladustuz;Un tucano con becco di cristallo che mangia stelle cadenti;2025.01.10;;tucano-cristallo;4
Gorillo Watermellondrillo;Un gorilla fatto di anguria con muscoli di polpa rossa;2025.03.25;;gorilla-anguria;3
Bananita Dolfinita;Un delfino fatto di banane che nuota nell'aria;2024.11.10;;delfino-banana;1
Tigroligre Frutonni;Una tigre-leone ibrido fatto di frutta esotica;2025.05.20;;tigre-leone-frutta;4
Ballerino Lololo;Un ballerino con testa di lollipop che danza eternamente;2025.02.25;;ballerino-lollipop;1
Crocodildo Penisini;Un coccodrillo con squame di caramelle gommose;2025.04.30;;cocco-caramella;4
Makakini Bananini;Una scimmia macaco fatta interamente di banane mature;2024.12.30;;macaco-banana;1
Matteooooooooooooo;Un gatto infinito che si allunga all'infinito;2025.01.15;;gatto-infinito;7
Špijuniro Golubiro;Un piccione spia con occhiali da sole e valigetta segreta;2025.03.15;;piccione-spia;3
Elephantuchi Bananuchi;Un elefante-banana ibrido che spruzza frullati dalla proboscide;2025.05.30;;elefante-banana;2
Crocodillo Ananasinno;Un coccodrillo fatto di ananas con denti di foglie taglienti;2024.11.05;;cocco-ananas;4
Penguino Cocosino;Un pinguino fatto di noci di cocco che scivola su ghiaccio di cocco;2025.02.01;;pinguino-cocco;2
Bobrelli Bananelli;Un castoro fatto di banane che costruisce dighe di frutta;2025.04.01;;castoro-banana;1
Bulliccinni Bananini;Un bulldog fatto di banane con collare di bucce;2025.01.25;;bulldog-banana;2
Pandaccini Bananini;Un panda fatto di banane che mangia bambù di zucchero;2025.03.05;;panda-banana;1
Torrtuginni Dragonfrutinni;Una tartaruga con guscio di dragon fruit e zampe di kiwi;2024.12.01;;tartaruga-frutta;1
Gorillini Bananini;Un gorilla fatto di banane con muscoli di bucce;2025.05.01;;gorilla-banana;2
Ecco Cavallo Virtuoso;Un cavallo olografico che galoppa su tasti di pianoforte;2025.02.10;;cavallo-musica;3
Flamingulli-gulli-gulli;Un fenicottero fatto di gomma da masticare rosa;2025.04.15;;fenicottero-gomma;1
Capybarelli Bananalelli;Un capibara fatto di banane che rilassa in una vasca di frullato;2024.11.15;;capibara-banana;1
Tob Tobi Tob Tobi Tob;Un robot fatto di strumenti musicali che suona se stesso;2025.03.10;;robot-musica;3
Sigma Boy;Un lupo alfa fatto di proteine in polvere e pre-workout;2025.05.15;;lupo-fitness;6
La Esok Sikola;Una scuola che cammina con gambe di matite e tetto di libri;2024.12.15;;scuola-mobile;3
Chai Maestro;Un maestro di tè che fluttua in una tazza di chai infinita;2025.01.30;;te-maestro;2
